participant,age,female,trial,date,time,condition,crowding_axis,n_errors,n_hits,prop_correct,dot1,is_target1,dot2,is_target2,dot3,is_target3,dot4,is_target4,dot5,is_target5
02_RB,30,0,0,21/08/2013,12:22:23 pm,vertical,strong,1,4,0.8,0,1,1,1,4,1,6,1,9,0
02_RB,30,0,1,21/08/2013,12:22:48 pm,vertical,strong,1,4,0.8,0,1,1,1,3,1,4,1,9,0
02_RB,30,0,2,21/08/2013,12:23:11 pm,horizontal,weak,1,4,0.8,0,1,2,1,3,1,5,0,7,1
02_RB,30,0,3,21/08/2013,12:23:32 pm,horizontal,weak,3,2,0.4,3,1,4,0,5,0,6,1,8,0
02_RB,30,0,4,21/08/2013,12:23:55 pm,horizontal,weak,0,5,1.0,0,1,1,1,2,1,4,1,8,1
02_RB,30,0,5,21/08/2013,12:24:17 pm,vertical,strong,1,4,0.8,0,1,1,1,2,1,3,1,6,0
02_RB,30,0,6,21/08/2013,12:24:41 pm,horizontal,weak,2,3,0.6,1,1,2,1,5,1,6,0,7,0
02_RB,30,0,7,21/08/2013,12:25:03 pm,vertical,strong,1,4,0.8,0,1,1,1,3,1,8,0,9,1
02_RB,30,0,8,21/08/2013,12:25:25 pm,vertical,strong,1,4,0.8,0,1,1,1,3,1,8,1,9,0
02_RB,30,0,9,21/08/2013,12:25:48 pm,vertical,strong,1,4,0.8,0,1,1,0,3,1,4,1,9,1
02_RB,30,0,10,21/08/2013,12:26:10 pm,horizontal,weak,1,4,0.8,0,1,1,1,4,1,6,1,7,0
02_RB,30,0,11,21/08/2013,12:26:34 pm,vertical,strong,2,3,0.6,0,1,2,1,3,1,4,0,8,0
02_RB,30,0,12,21/08/2013,12:26:57 pm,vertical,strong,1,4,0.8,0,1,2,1,4,1,5,0,9,1
02_RB,30,0,13,21/08/2013,12:27:20 pm,horizontal,weak,2,3,0.6,1,0,2,1,3,1,8,0,9,1
02_RB,30,0,14,21/08/2013,12:27:41 pm,vertical,strong,1,4,0.8,0,1,1,0,3,1,6,1,9,1
02_RB,30,0,15,21/08/2013,12:28:02 pm,horizontal,weak,1,4,0.8,1,1,2,1,3,1,5,1,8,0
02_RB,30,0,16,21/08/2013,12:28:24 pm,vertical,strong,0,5,1.0,0,1,2,1,3,1,8,1,9,1
02_RB,30,0,17,21/08/2013,12:28:44 pm,horizontal,weak,1,4,0.8,0,1,3,1,4,1,6,1,7,0
02_RB,30,0,18,21/08/2013,12:29:04 pm,horizontal,weak,0,5,1.0,0,1,1,1,2,1,6,1,8,1
02_RB,30,0,19,21/08/2013,12:29:27 pm,vertical,strong,1,4,0.8,0,1,1,1,4,0,6,1,7,1
02_RB,30,0,20,21/08/2013,12:30:49 pm,horizontal,weak,0,5,1.0,0,1,1,1,2,1,4,1,8,1
02_RB,30,0,21,21/08/2013,12:31:08 pm,horizontal,weak,1,4,0.8,0,1,2,1,3,1,5,1,9,0
02_RB,30,0,22,21/08/2013,12:31:28 pm,horizontal,weak,3,2,0.4,1,1,3,0,4,0,6,1,7,0
