participant,trial,frame,t_ms,dot,x,y
01_SV,0,0,50,0,643.0,336.0
01_SV,0,0,50,1,928.0,894.0
01_SV,0,0,50,2,1019.0,735.0
01_SV,0,0,50,3,840.0,972.0
01_SV,0,0,50,4,910.0,428.0
01_SV,0,0,50,5,386.0,810.0
01_SV,0,0,50,6,538.0,983.0
01_SV,0,0,50,7,1046.0,580.0
01_SV,0,0,50,8,1035.0,423.0
01_SV,0,0,50,9,755.0,1150.0
01_SV,0,1,100,0,645.0,325.0
01_SV,0,1,100,1,923.0,884.0
01_SV,0,1,100,2,1023.0,725.0
01_SV,0,1,100,3,833.0,963.0
01_SV,0,1,100,4,899.0,429.0
01_SV,0,1,100,5,393.0,802.0
01_SV,0,1,100,6,533.0,973.0
01_SV,0,1,100,7,1054.0,573.0
01_SV,0,1,100,8,1045.0,427.0
01_SV,0,1,100,9,745.0,1154.0
01_SV,0,2,150,0,647.0,314.0
01_SV,0,2,150,1,918.0,874.0
01_SV,0,2,150,2,1027.0,715.0
01_SV,0,2,150,3,826.0,954.0
01_SV,0,2,150,4,888.0,430.0
01_SV,0,2,150,5,400.0,794.0
01_SV,0,2,150,6,528.0,963.0
01_SV,0,2,150,7,1062.0,566.0
01_SV,0,2,150,8,1055.0,431.0
01_SV,0,2,150,9,735.0,1158.0
01_SV,0,3,200,0,649.0,303.0
01_SV,0,3,200,1,913.0,864.0
01_SV,0,3,200,2,1031.0,705.0
01_SV,0,3,200,3,819.0,945.0
01_SV,0,3,200,4,877.0,431.0
01_SV,0,3,200,5,407.0,786.0
01_SV,0,3,200,6,523.0,953.0
01_SV,0,3,200,7,1070.0,559.0
01_SV,0,3,200,8,1065.0,435.0
01_SV,0,3,200,9,725.0,1162.0
01_SV,0,4,250,0,650.0,292.0
01_SV,0,4,250,1,908.0,854.0
01_SV,0,4,250,2,1035.0,695.0
01_SV,0,4,250,3,812.0,937.0
01_SV,0,4,250,4,866.0,432.0
01_SV,0,4,250,5,414.0,778.0
01_SV,0,4,250,6,518.0,943.0
01_SV,0,4,250,7,1079.0,552.0
01_SV,0,4,250,8,1075.0,439.0
01_SV,0,4,250,9,715.0,1166.0
01_SV,0,5,300,0,651.0,281.0
01_SV,0,5,300,1,903.0,844.0
